"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","response","present","setSize","conjuction","task","correct","stimulus"
"","609","canvas-keyboard-response","175","272547","0.0-1.0-0.87","f","true","10","false","response","true",""
"","null","html-keyboard-response","176","274056","0.0-1.0-1.87","null","","","","","","Correct!"
"","998","canvas-keyboard-response","177","275562","0.0-1.0-0.88","j","false","40","true","response","true",""
"","null","html-keyboard-response","178","277072","0.0-1.0-1.88","null","","","","","","Correct!"
"","680","canvas-keyboard-response","179","278261","0.0-1.0-0.89","f","false","20","true","response","false",""
"","null","html-keyboard-response","180","279780","0.0-1.0-1.89","null","","","","","","Wrong"
"","592","canvas-keyboard-response","181","280886","0.0-1.0-0.90","f","true","10","false","response","true",""
"","null","html-keyboard-response","182","282400","0.0-1.0-1.90","null","","","","","","Correct!"
"","1338","canvas-keyboard-response","183","284246","0.0-1.0-0.91","f","true","10","true","response","true",""
"","null","html-keyboard-response","184","285764","0.0-1.0-1.91","null","","","","","","Correct!"
"","851","canvas-keyboard-response","185","287127","0.0-1.0-0.92","j","false","10","true","response","true",""
"","null","html-keyboard-response","186","288640","0.0-1.0-1.92","null","","","","","","Correct!"
"","858","canvas-keyboard-response","187","290008","0.0-1.0-0.93","j","true","30","true","response","false",""
"","null","html-keyboard-response","188","291523","0.0-1.0-1.93","null","","","","","","Wrong"
"","966","canvas-keyboard-response","189","293004","0.0-1.0-0.94","f","true","10","true","response","true",""
"","null","html-keyboard-response","190","294523","0.0-1.0-1.94","null","","","","","","Correct!"
"","939","canvas-keyboard-response","191","295976","0.0-1.0-0.95","j","false","30","true","response","true",""
"","null","html-keyboard-response","192","297490","0.0-1.0-1.95","null","","","","","","Correct!"
"","975","canvas-keyboard-response","193","298978","0.0-1.0-0.96","j","false","30","false","response","true",""
"","null","html-keyboard-response","194","300490","0.0-1.0-1.96","null","","","","","","Correct!"
"","880","canvas-keyboard-response","195","301885","0.0-1.0-0.97","f","true","20","true","response","true",""
